year,id,ext,den,cal,Reef
1705,ABR01A,1.1430,1.3130,1.5010,ABR
1706,ABR01A,0.3560,1.2980,0.4620,ABR
1707,ABR01A,0.8890,1.2870,1.1440,ABR
1708,ABR01A,1.0410,1.2260,1.2760,ABR
1709,ABR01A,0.8130,1.2000,0.9750,ABR
1710,ABR01A,0.7870,1.2000,0.9450,ABR
1711,ABR01A,0.7620,1.1990,0.9140,ABR
1712,ABR01A,0.9910,1.2090,1.1970,ABR
1713,ABR01A,0.7620,1.2010,0.9150,ABR
1714,ABR01A,0.7620,1.1880,0.9050,ABR
1715,ABR01A,0.9650,1.2010,1.1590,ABR
1716,ABR01A,0.6350,1.2670,0.8040,ABR
1717,ABR01A,0.7620,1.2910,0.9840,ABR
1718,ABR01A,1.0410,1.3150,1.3690,ABR
1719,ABR01A,0.6860,1.3160,0.9020,ABR
1720,ABR01A,0.5840,1.2990,0.7590,ABR
1721,ABR01A,1.6260,1.3370,2.1730,ABR
1722,ABR01A,1.4220,1.3140,1.8690,ABR
1723,ABR01A,1.3970,1.2610,1.7620,ABR
1724,ABR01A,0.9400,1.1370,1.0690,ABR
1725,ABR01A,1.4220,1.1970,1.7030,ABR
1726,ABR01A,0.6100,1.1910,0.7260,ABR
1727,ABR01A,1.3210,1.1850,1.5650,ABR
1728,ABR01A,0.9140,1.2660,1.1570,ABR
1729,ABR01A,1.3210,1.2550,1.6570,ABR
1730,ABR01A,1.4480,1.1940,1.7280,ABR
1731,ABR01A,1.0160,1.1980,1.2180,ABR
1732,ABR01A,0.9140,1.2590,1.1510,ABR
1733,ABR01A,0.7620,1.3370,1.0190,ABR
1734,ABR01A,0.4570,1.3620,0.6230,ABR
1735,ABR01A,0.9140,1.3780,1.2600,ABR
1736,ABR01A,1.3970,1.2740,1.7790,ABR
1737,ABR01A,0.8890,1.1960,1.0630,ABR
1738,ABR01A,0.7370,1.2140,0.8940,ABR
1739,ABR01A,0.7875,1.2490,0.9836,ABR
1740,ABR01A,0.8380,1.2180,1.0210,ABR
1741,ABR01A,1.1430,1.2650,1.4450,ABR
1742,ABR01A,0.9400,1.3240,1.2450,ABR
1743,ABR01A,0.7620,1.3300,1.0140,ABR
1744,ABR01A,1.4990,1.3560,2.0320,ABR
1745,ABR01A,0.4320,1.3570,0.5860,ABR
